username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hemilyalmeiida;2016-03-30 20:39;0;1;"ai o fabio do #masterchefbr curte meu tweet hauahauh";;;#masterchefbr;"715322706468724737";https://twitter.com/hemilyalmeiida/status/715322706468724737
juflescano;2016-03-30 20:26;0;0;"Jah que não consegui assisti tudo ontem, vamos no youtube hj! #masterchefbr @masterchefbr =D";;@masterchefbr;#masterchefbr;"715319337666609152";https://twitter.com/juflescano/status/715319337666609152
ThomasRonelly;2016-03-30 20:05;0;0;"Muita tensão nos candidatos #MasterChefBr";;;#MasterChefBr;"715313973696942082";https://twitter.com/ThomasRonelly/status/715313973696942082
ETudoPOP;2016-03-30 20:01;0;0;"#AnaPaulaResponde @anapaularenault #MasterChefBR VEJA O ENSAIO NU DE MODELO DO MASTERCHEF BR 2016 https:// ehtudopop.wordpress.com/2016/03/30/vej a-o-ensaio-nu-de-modelo-do-masterchef-br-2016/ … via @ETudoPop";;@anapaularenault @ETudoPop;#AnaPaulaResponde #MasterChefBR;"715312951247441921";https://twitter.com/ETudoPOP/status/715312951247441921
nathaliabriones;2016-03-30 19:43;0;0;"Passando longe dos tweets hoje! #MasterChefBR";;;#MasterChefBR;"715308414566576132";https://twitter.com/nathaliabriones/status/715308414566576132
Junior1981_5;2016-03-30 19:41;0;0;"Hoje tem #MasterChefBR";;;#MasterChefBR;"715308036605259782";https://twitter.com/Junior1981_5/status/715308036605259782
DiegoQueiroz_;2016-03-30 19:32;0;6;"é por isso que amo o #MasterChefBR pic.twitter.com/oZmGNhBm2Z";;;#MasterChefBR;"715305715188031488";https://twitter.com/DiegoQueiroz_/status/715305715188031488
IsabelleRibeiro;2016-03-30 19:23;1;2;"Esse é o vídeo mais assustador que eu já vi na minha vida. https://www. youtube.com/watch?v=T-5YUW Gm9yI … #MasterChefBR";;;#MasterChefBR;"715303415157559302";https://twitter.com/IsabelleRibeiro/status/715303415157559302
gabscomentando;2016-03-30 19:20;0;0;"Meus favoritos do #MasterChefBR pic.twitter.com/IVdk65ZHQw";;;#MasterChefBR;"715302727312605184";https://twitter.com/gabscomentando/status/715302727312605184
mundopositivo;2016-03-30 19:00;0;1;"Masterchef já tem um mozão coletivo: Leo Young - http:// bit.ly/1PGetHl #MasterChefBr #TV";;;#MasterChefBr #TV;"715297665550921728";https://twitter.com/mundopositivo/status/715297665550921728
sadia;2016-03-30 19:00;0;4;"Cortar cenoura perfeitamente, separar gema e clara, limpar camarão... Ontem foi um dia de muito aprendizado no #MasterchefBR ! Quem assistiu?";;;#MasterchefBR;"715297644285976576";https://twitter.com/sadia/status/715297644285976576
IsaqueHerrera;2016-03-30 18:58;0;0;"Já to em contato com 11 participantes do #MasterChefBR";;;#MasterChefBR;"715297109084389376";https://twitter.com/IsaqueHerrera/status/715297109084389376
lucastasm;2016-03-30 18:50;2;2;"Como fazer panquecas #MasterChefBR #masterchefjunior #RIRLisboaAMPM pic.twitter.com/CXuDyRDPi7";Brasília, Brazil;;#MasterChefBR #masterchefjunior #RIRLisboaAMPM;"715295054890475520";https://twitter.com/lucastasm/status/715295054890475520
desestruturado;2016-03-30 18:24;0;3;"Esse #bbb tem q acabar logo pra eu dar atenção ao #MasterChefBR ...";;;#bbb #MasterChefBR;"715288594580180992";https://twitter.com/desestruturado/status/715288594580180992
_1985ramos;2016-03-30 18:24;0;0;"A prova do 'mise en place' do @masterchefbr ontem parecia a tia da quinta série pedindo pra ver se o caderno tava caprichado #masterchefbr";;@masterchefbr;#masterchefbr;"715288517908234241";https://twitter.com/_1985ramos/status/715288517908234241
thaais_maia;2016-03-30 18:23;0;0;"#MasterChefBR a Paolla é tão sensível q vê por trás das pessoas...";;;#MasterChefBR;"715288311766626304";https://twitter.com/thaais_maia/status/715288311766626304
Amandhasenna_;2016-03-30 18:12;0;0;"Quero as Reprises do #MasterchefBR no @tlcbrasil lá reprisava Qui/Dom Do @discoverymulher é só na sexta? É isso mesmo? :( Chato";;@tlcbrasil @discoverymulher;#MasterchefBR;"715285604817350656";https://twitter.com/Amandhasenna_/status/715285604817350656
Alduini;2016-03-30 18:10;0;0;"Tadica da vovó #masterchefBR";;;#masterchefBR;"715285177019338758";https://twitter.com/Alduini/status/715285177019338758
thaais_maia;2016-03-30 18:09;0;1;"Cara vai no #Masterchefbr e faz hamburguer com maionese verde";;;#Masterchefbr;"715284719471034368";https://twitter.com/thaais_maia/status/715284719471034368
TeIevizona;2016-03-30 17:57;0;0;"Tudo o que você precisa saber sobre os 21 participantes do #MasterChefBR ! http:// bit.ly/1V6A0zN pic.twitter.com/VzeE5nVblA";;;#MasterChefBR;"715281915092275200";https://twitter.com/TeIevizona/status/715281915092275200
Seu_Demo;2016-03-30 17:57;0;0;"Pessoal assistindo jogo da seleção preocupado com a copa... quer ver jogo de verdade liga na cozinha do #MasterChefBR";;;#MasterChefBR;"715281896209559553";https://twitter.com/Seu_Demo/status/715281896209559553
_LauraFreire_;2016-03-30 17:50;0;0;"@folha Marcam o programa #MasterChefBR inteiro. São desnecessariamente grosseiros e humilham publicamente quem já está nervoso.";;@folha;#MasterChefBR;"715280037726052353";https://twitter.com/_LauraFreire_/status/715280037726052353
HomemBenigno;2016-03-30 17:50;0;0;"? Como seria se o #MasterChefBR fosse filmado no Brasil? http:// homembenigno.com.br/2016/03/30/mas … pic.twitter.com/xBHPyPV3xV";;;#MasterChefBR;"715279962702385153";https://twitter.com/HomemBenigno/status/715279962702385153
